community,event_count,affected_records,unplanned_records,planned_records,first_event_date,last_event_date,days_since_last_event_at_dataset_end,unplanned_share,frequency_score,recency_score,historical_risk_score,historical_risk_band
Tongaat CBD,1,1,1,0,2024-07-24,2024-07-24,768,1.0,0.2701492537313433,0.12195421530863895,37.166089145826334,Low
Tongaat Central,1,1,1,0,2024-07-24,2024-07-24,768,1.0,0.2701492537313433,0.12195421530863895,37.166089145826334,Low
Chelmsford Heights,1,1,1,0,2024-07-24,2024-07-24,768,1.0,0.2701492537313433,0.12195421530863895,37.166089145826334,Low
Plein Street,1,1,1,0,2024-07-24,2024-07-24,768,1.0,0.2701492537313433,0.12195421530863895,37.166089145826334,Low
Buffelsdale,1,1,1,0,2024-07-24,2024-07-24,768,1.0,0.2701492537313433,0.12195421530863895,37.166089145826334,Low
Belvedere Area,1,1,1,0,2024-07-24,2024-07-24,768,1.0,0.2701492537313433,0.12195421530863895,37.166089145826334,Low
Belgate Township,1,1,1,0,2024-07-24,2024-07-24,768,1.0,0.2701492537313433,0.12195421530863895,37.166089145826334,Low
Watsonia,1,1,1,0,2024-07-24,2024-07-24,768,1.0,0.2701492537313433,0.12195421530863895,37.166089145826334,Low
Wastonia,1,1,1,0,2024-07-24,2024-07-24,768,1.0,0.2701492537313433,0.12195421530863895,37.166089145826334,Low
Brake Village,1,1,1,0,2024-07-24,2024-07-24,768,1.0,0.2701492537313433,0.12195421530863895,37.166089145826334,Low
Watson Highway,1,1,1,0,2024-07-24,2024-07-24,768,1.0,0.2701492537313433,0.12195421530863895,37.166089145826334,Low
Mithanager,1,1,1,0,2024-07-24,2024-07-24,768,1.0,0.2701492537313433,0.12195421530863895,37.166089145826334,Low
Metcalf,1,1,1,0,2024-07-24,2024-07-24,768,1.0,0.2701492537313433,0.12195421530863895,37.166089145826334,Low
Ghandinagar,1,1,1,0,2024-07-24,2024-07-24,768,1.0,0.2701492537313433,0.12195421530863895,37.166089145826334,Low
Gwalas Farm,1,1,1,0,2024-07-24,2024-07-24,768,1.0,0.2701492537313433,0.12195421530863895,37.166089145826334,Low
Verulam,1,1,1,0,2023-10-12,2023-10-12,1054,1.0,0.2701492537313433,0.05570578748454301,35.17863631110345,Low
Redcliffe,1,1,1,0,2023-10-12,2023-10-12,1054,1.0,0.2701492537313433,0.05570578748454301,35.17863631110345,Low
St Wendolins,1,1,1,0,2023-10-12,2023-10-12,1054,1.0,0.2701492537313433,0.05570578748454301,35.17863631110345,Low
Washington Heights,1,1,1,0,2023-10-12,2023-10-12,1054,1.0,0.2701492537313433,0.05570578748454301,35.17863631110345,Low
Umhlanga Rocks,1,1,1,0,2023-09-22,2023-09-22,1074,1.0,0.2701492537313433,0.052735535464885644,35.08952875051373,Low
Broadway,1,1,1,0,2023-09-22,2023-09-22,1074,1.0,0.2701492537313433,0.052735535464885644,35.08952875051373,Low
Prestondale,1,1,1,0,2023-09-22,2023-09-22,1074,1.0,0.2701492537313433,0.052735535464885644,35.08952875051373,Low
Somerset Park,1,1,1,0,2023-09-19,2023-09-19,1077,1.0,0.2701492537313433,0.05230386910906029,35.076578759838974,Low
Glen Hill,1,1,1,0,2023-09-19,2023-09-19,1077,1.0,0.2701492537313433,0.05230386910906029,35.076578759838974,Low
Redhill,1,1,1,0,2023-09-19,2023-09-19,1077,1.0,0.2701492537313433,0.05230386910906029,35.076578759838974,Low
Riverside,1,1,1,0,2023-09-19,2023-09-19,1077,1.0,0.2701492537313433,0.05230386910906029,35.076578759838974,Low
Sunningdale,1,1,1,0,2023-09-19,2023-09-19,1077,1.0,0.2701492537313433,0.05230386910906029,35.076578759838974,Low
Blackburn Road,1,1,1,0,2023-09-19,2023-09-19,1077,1.0,0.2701492537313433,0.05230386910906029,35.076578759838974,Low
Umhlanga CBD,1,1,1,0,2023-09-19,2023-09-19,1077,1.0,0.2701492537313433,0.05230386910906029,35.076578759838974,Low
Japanese Gardens,1,1,1,0,2023-09-19,2023-09-19,1077,1.0,0.2701492537313433,0.05230386910906029,35.076578759838974,Low
Athlone,1,1,1,0,2023-09-19,2023-09-19,1077,1.0,0.2701492537313433,0.05230386910906029,35.076578759838974,Low
La Lucia Ridge,1,1,1,0,2023-09-19,2023-09-19,1077,1.0,0.2701492537313433,0.05230386910906029,35.076578759838974,Low
La Lucia Mall,1,1,1,0,2023-09-19,2023-09-19,1077,1.0,0.2701492537313433,0.05230386910906029,35.076578759838974,Low
Umhlanga Rocks Drive,1,1,1,0,2023-09-19,2023-09-19,1077,1.0,0.2701492537313433,0.05230386910906029,35.076578759838974,Low
Canelands,1,1,1,0,2023-07-31,2023-07-31,1127,1.0,0.2701492537313433,0.045608041338021904,34.87570392670782,Low
Riyadh,1,1,1,0,2023-07-31,2023-07-31,1127,1.0,0.2701492537313433,0.045608041338021904,34.87570392670782,Low
Redcliffe Township,1,1,1,0,2023-07-31,2023-07-31,1127,1.0,0.2701492537313433,0.045608041338021904,34.87570392670782,Low
Redcliffe Rural and Informal Housing Development,1,1,1,0,2023-07-31,2023-07-31,1127,1.0,0.2701492537313433,0.045608041338021904,34.87570392670782,Low
Oakford Holding Tank,1,1,1,0,2023-07-31,2023-07-31,1127,1.0,0.2701492537313433,0.045608041338021904,34.87570392670782,Low
Everest Heights Informal Housing,1,1,1,0,2023-07-31,2023-07-31,1127,1.0,0.2701492537313433,0.045608041338021904,34.87570392670782,Low
Everest Heights,1,1,1,0,2023-07-31,2023-07-31,1127,1.0,0.2701492537313433,0.045608041338021904,34.87570392670782,Low
Umdloti Heights,1,1,1,0,2023-07-31,2023-07-31,1127,1.0,0.2701492537313433,0.045608041338021904,34.87570392670782,Low
Sunkist Drive,1,1,1,0,2023-07-31,2023-07-31,1127,1.0,0.2701492537313433,0.045608041338021904,34.87570392670782,Low
Verulam CBD,1,1,1,0,2023-07-31,2023-07-31,1127,1.0,0.2701492537313433,0.045608041338021904,34.87570392670782,Low
Inca Drive,1,1,1,0,2023-07-31,2023-07-31,1127,1.0,0.2701492537313433,0.045608041338021904,34.87570392670782,Low
Lotusville,1,1,1,0,2023-07-31,2023-07-31,1127,1.0,0.2701492537313433,0.045608041338021904,34.87570392670782,Low
Buffelsdraai Road,1,1,1,0,2023-07-31,2023-07-31,1127,1.0,0.2701492537313433,0.045608041338021904,34.87570392670782,Low
Grange Area,1,1,1,0,2023-07-31,2023-07-31,1127,1.0,0.2701492537313433,0.045608041338021904,34.87570392670782,Low
Temple Valley,1,1,1,0,2023-07-31,2023-07-31,1127,1.0,0.2701492537313433,0.045608041338021904,34.87570392670782,Low
Alverstone,1,1,1,0,2023-07-26,2023-07-26,1132,1.0,0.2701492537313433,0.044987533406078375,34.85708868874951,Low
Summerveld,1,1,1,0,2023-07-26,2023-07-26,1132,1.0,0.2701492537313433,0.044987533406078375,34.85708868874951,Low
Nsiswakazi,1,1,1,0,2023-07-08,2023-07-08,1150,1.0,0.2701492537313433,0.04282278614455312,34.79214627090376,Low
Umshinini,1,1,1,0,2023-07-08,2023-07-08,1150,1.0,0.2701492537313433,0.04282278614455312,34.79214627090376,Low
Marianheights,1,1,1,0,2023-07-08,2023-07-08,1150,1.0,0.2701492537313433,0.04282278614455312,34.79214627090376,Low
Pineview,1,1,1,0,2023-07-08,2023-07-08,1150,1.0,0.2701492537313433,0.04282278614455312,34.79214627090376,Low
Sithundu Hills,1,1,1,0,2023-07-08,2023-07-08,1150,1.0,0.2701492537313433,0.04282278614455312,34.79214627090376,Low
Regency Park,1,1,1,0,2023-07-08,2023-07-08,1150,1.0,0.2701492537313433,0.04282278614455312,34.79214627090376,Low
Malabar Hills,1,1,1,0,2023-06-22,2023-06-22,1166,1.0,0.2701492537313433,0.04098617157018001,34.73704783367256,Low
KwaNdengezi Pitoli,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Tshelimnyama,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Umbumbulu,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Drummond,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Dassenhoek,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Coffee Farm,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Cato Ridge,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Crestholme,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Embo,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Zwelibomvu,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Skhelekehleni,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Salem,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Mpumalanga,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Hammersdale,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Isithumba,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Kwanyuswa,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Kloof,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Kwanqetho,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
KwaXimba,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
KwaNdengezi,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Waterfall,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Bothas Hill,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Amatikwe,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Inchanga,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Mlaba Village,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Georgedale,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Mshazi,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Molweni,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Ntshongweni,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Hillcrest,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
New Germany,1,1,1,0,2023-05-14,2023-05-14,1205,1.0,0.2701492537313433,0.036832677104679426,34.61244299970755,Low
Umhlathuzana,1,1,0,1,2026-01-25,2026-01-25,218,0.0,0.2701492537313433,0.5503172912170365,30.01698142307826,Low
Inanda New Town A,1,1,0,1,2025-05-06,2025-05-06,482,0.0,0.2701492537313433,0.26698896655347903,21.517131683171538,Low
Ntuzuma A,1,1,0,1,2025-05-06,2025-05-06,482,0.0,0.2701492537313433,0.26698896655347903,21.517131683171538,Low
Ntuzuma B,1,1,0,1,2025-05-06,2025-05-06,482,0.0,0.2701492537313433,0.26698896655347903,21.517131683171538,Low
Sowetho,1,1,0,1,2025-05-06,2025-05-06,482,0.0,0.2701492537313433,0.26698896655347903,21.517131683171538,Low
Ntuzuma G,1,1,0,1,2025-05-06,2025-05-06,482,0.0,0.2701492537313433,0.26698896655347903,21.517131683171538,Low
Ntuzuma F,1,1,0,1,2025-05-06,2025-05-06,482,0.0,0.2701492537313433,0.26698896655347903,21.517131683171538,Low
Ntuzuma H,1,1,0,1,2025-05-06,2025-05-06,482,0.0,0.2701492537313433,0.26698896655347903,21.517131683171538,Low
Inanda New Town C,1,1,0,1,2025-05-06,2025-05-06,482,0.0,0.2701492537313433,0.26698896655347903,21.517131683171538,Low
Inanda New Town B,1,1,0,1,2025-05-06,2025-05-06,482,0.0,0.2701492537313433,0.26698896655347903,21.517131683171538,Low
KwaMashu M-Section,1,1,0,1,2025-05-06,2025-05-06,482,0.0,0.2701492537313433,0.26698896655347903,21.517131683171538,Low
Inhlungwana,1,1,0,1,2025-05-06,2025-05-06,482,0.0,0.2701492537313433,0.26698896655347903,21.517131683171538,Low
Bester,1,1,0,1,2025-05-06,2025-05-06,482,0.0,0.2701492537313433,0.26698896655347903,21.517131683171538,Low
Mzomusha,1,1,0,1,2025-05-06,2025-05-06,482,0.0,0.2701492537313433,0.26698896655347903,21.517131683171538,Low
Ezimangweni,1,1,0,1,2025-05-06,2025-05-06,482,0.0,0.2701492537313433,0.26698896655347903,21.517131683171538,Low
Ntuzuma E,1,1,0,1,2025-05-06,2025-05-06,482,0.0,0.2701492537313433,0.26698896655347903,21.517131683171538,Low
Ntuzuma C,1,1,0,1,2025-05-06,2025-05-06,482,0.0,0.2701492537313433,0.26698896655347903,21.517131683171538,Low
Ntuzuma D,1,1,0,1,2025-05-06,2025-05-06,482,0.0,0.2701492537313433,0.26698896655347903,21.517131683171538,Low
Stonebridge,1,1,0,1,2024-10-23,2024-10-23,677,0.0,0.2701492537313433,0.156485093842977,18.202015501856476,Low
Southgate,1,1,0,1,2024-10-23,2024-10-23,677,0.0,0.2701492537313433,0.156485093842977,18.202015501856476,Low
Clayfield,1,1,0,1,2024-10-23,2024-10-23,677,0.0,0.2701492537313433,0.156485093842977,18.202015501856476,Low
Mount Edgecombe Hospital,1,1,0,1,2024-10-23,2024-10-23,677,0.0,0.2701492537313433,0.156485093842977,18.202015501856476,Low
Mount Edgecombe Estate,1,1,0,1,2024-10-23,2024-10-23,677,0.0,0.2701492537313433,0.156485093842977,18.202015501856476,Low
Broadland,1,1,0,1,2024-10-23,2024-10-23,677,0.0,0.2701492537313433,0.156485093842977,18.202015501856476,Low
Isipingo Beach,1,1,0,1,2024-10-01,2024-10-01,699,0.0,0.2701492537313433,0.14733174102542576,17.927414917329937,Low
Isipingo Hills,1,1,0,1,2024-10-01,2024-10-01,699,0.0,0.2701492537313433,0.14733174102542576,17.927414917329937,Low
Isipingo Rail,1,1,0,1,2024-10-01,2024-10-01,699,0.0,0.2701492537313433,0.14733174102542576,17.927414917329937,Low
Berea,1,1,0,1,2024-04-15,2024-04-15,868,0.0,0.2701492537313433,0.09272824207741176,16.289309948889517,Low
Lamontville,1,1,0,1,2024-04-15,2024-04-15,868,0.0,0.2701492537313433,0.09272824207741176,16.289309948889517,Low
Glenwood,1,1,0,1,2024-04-15,2024-04-15,868,0.0,0.2701492537313433,0.09272824207741176,16.289309948889517,Low
Prince Mshiyeni Hospital,1,1,0,1,2024-04-15,2024-04-15,868,0.0,0.2701492537313433,0.09272824207741176,16.289309948889517,Low
Overport,1,1,0,1,2024-04-15,2024-04-15,868,0.0,0.2701492537313433,0.09272824207741176,16.289309948889517,Low
Carrington Heights,1,1,0,1,2024-04-15,2024-04-15,868,0.0,0.2701492537313433,0.09272824207741176,16.289309948889517,Low
Woodhaven,1,1,0,1,2024-04-15,2024-04-15,868,0.0,0.2701492537313433,0.09272824207741176,16.289309948889517,Low
