community,event_count,affected_records,unplanned_records,planned_records,first_event_date,last_event_date,days_since_last_event_at_dataset_end,unplanned_share,frequency_score,recency_score,historical_risk_score,historical_risk_band
Phoenix,3,3,3,0,2023-10-12,2026-03-15,169,1.0,0.8014925373134328,0.6293840107503325,78.95614718818163,High
Arena Park,3,3,3,0,2023-07-08,2026-03-15,169,1.0,0.8014925373134328,0.6293840107503325,78.95614718818163,High
La Lucia,3,3,3,0,2023-09-19,2026-03-15,169,1.0,0.8014925373134328,0.6293840107503325,78.95614718818163,High
Moorton,3,3,3,0,2023-07-08,2026-03-15,169,1.0,0.8014925373134328,0.6293840107503325,78.95614718818163,High
Welbedacht East,3,3,3,0,2023-07-08,2026-03-15,169,1.0,0.8014925373134328,0.6293840107503325,78.95614718818163,High
KwaMashu,3,3,3,0,2023-10-12,2026-03-15,169,1.0,0.8014925373134328,0.6293840107503325,78.95614718818163,High
Montford,3,3,3,0,2023-07-08,2026-03-15,169,1.0,0.8014925373134328,0.6293840107503325,78.95614718818163,High
Inteke,3,3,3,0,2023-02-15,2026-03-15,169,1.0,0.8014925373134328,0.6293840107503325,78.95614718818163,High
Prospecton Industrial,4,4,2,2,2023-06-22,2026-05-15,108,0.5,0.9223880597014925,0.7438689434377121,78.43547128820599,High
Queensmead Industrial,2,2,2,0,2025-01-15,2026-07-13,49,1.0,0.6313432835820896,0.8743744388437276,77.79839734441629,High
Kingsway Hospital,3,3,2,1,2025-12-01,2026-06-10,82,0.6666666666666666,0.8014925373134328,0.7987897300493081,77.37165210048421,High
Isiphingo Rail,3,3,2,1,2023-06-22,2026-05-15,108,0.6666666666666666,0.8014925373134328,0.7438689434377121,75.72402850213633,High
Ekuhlengeni Psychiatric Hospital,2,2,2,0,2024-12-12,2026-06-10,82,1.0,0.6313432835820896,0.7987897300493081,75.53085608058372,High
Lewis Drive,2,2,2,0,2024-12-12,2026-06-10,82,1.0,0.6313432835820896,0.7987897300493081,75.53085608058372,High
Lower Illovo,2,2,2,0,2024-12-12,2026-06-10,82,1.0,0.6313432835820896,0.7987897300493081,75.53085608058372,High
Ehlanzeni,5,5,5,0,2023-06-22,2025-01-15,593,1.0,0.9716417910447761,0.19697912225789477,74.49146321997564,High
Springfield,3,3,2,1,2024-02-15,2026-03-15,169,0.6666666666666666,0.8014925373134328,0.6293840107503325,72.28948052151495,High
Inanda,3,3,2,1,2023-10-12,2026-03-15,169,0.6666666666666666,0.8014925373134328,0.6293840107503325,72.28948052151495,High
Adams Mission,4,4,4,0,2023-05-14,2024-12-12,627,1.0,0.9223880597014925,0.17945905208296484,71.50317454756356,High
Coedmore,3,3,2,1,2025-01-15,2026-02-06,206,0.6666666666666666,0.8014925373134328,0.568710613761671,70.4692786118551,High
Westmead,2,2,2,0,2023-05-14,2026-03-15,169,1.0,0.6313432835820896,0.6293840107503325,70.44868450161445,High
Mountview,2,2,2,0,2024-08-25,2026-03-15,169,1.0,0.6313432835820896,0.6293840107503325,70.44868450161445,High
Pinetown,2,2,2,0,2023-10-12,2026-03-15,169,1.0,0.6313432835820896,0.6293840107503325,70.44868450161445,High
Effingham,2,2,2,0,2023-09-19,2026-03-15,169,1.0,0.6313432835820896,0.6293840107503325,70.44868450161445,High
Mzinyathi,2,2,2,0,2023-05-14,2026-03-15,169,1.0,0.6313432835820896,0.6293840107503325,70.44868450161445,High
KwaSanti,2,2,2,0,2023-10-12,2026-03-15,169,1.0,0.6313432835820896,0.6293840107503325,70.44868450161445,High
Buffelsdraai,2,2,2,0,2023-07-31,2026-03-15,169,1.0,0.6313432835820896,0.6293840107503325,70.44868450161445,High
Beachway,2,2,2,0,2023-09-19,2026-03-15,169,1.0,0.6313432835820896,0.6293840107503325,70.44868450161445,High
Westville,2,2,2,0,2023-10-12,2026-03-15,169,1.0,0.6313432835820896,0.6293840107503325,70.44868450161445,High
Amaoti,2,2,2,0,2023-05-14,2026-03-15,169,1.0,0.6313432835820896,0.6293840107503325,70.44868450161445,High
Etafuleni,2,2,2,0,2023-05-14,2026-03-15,169,1.0,0.6313432835820896,0.6293840107503325,70.44868450161445,High
KwaDabeka,2,2,2,0,2023-02-15,2026-03-15,169,1.0,0.6313432835820896,0.6293840107503325,70.44868450161445,High
Glenashley,2,2,2,0,2023-09-19,2026-03-15,169,1.0,0.6313432835820896,0.6293840107503325,70.44868450161445,High
Golokodo,2,2,2,0,2025-01-15,2026-03-15,169,1.0,0.6313432835820896,0.6293840107503325,70.44868450161445,High
Oaklands,2,2,2,0,2023-07-31,2026-03-15,169,1.0,0.6313432835820896,0.6293840107503325,70.44868450161445,High
Bayview,3,3,2,1,2024-06-06,2026-01-25,218,0.6666666666666666,0.8014925373134328,0.5503172912170365,69.91747893551606,High
Havenside,3,3,2,1,2024-06-06,2026-01-25,218,0.6666666666666666,0.8014925373134328,0.5503172912170365,69.91747893551606,High
Chesterville,2,2,2,0,2023-10-12,2026-02-06,206,1.0,0.6313432835820896,0.568710613761671,68.62848259195461,High
Umlazi T,4,4,3,1,2023-06-22,2024-12-12,627,0.75,0.9223880597014925,0.17945905208296484,66.50317454756357,High
Umlazi Mission A,4,4,3,1,2023-06-22,2024-12-12,627,0.75,0.9223880597014925,0.17945905208296484,66.50317454756357,High
Orient Hills,4,4,3,1,2023-06-22,2024-12-12,627,0.75,0.9223880597014925,0.17945905208296484,66.50317454756357,High
Malukazi,4,4,3,1,2023-06-22,2024-12-12,627,0.75,0.9223880597014925,0.17945905208296484,66.50317454756357,High
Burlington Heights,3,3,3,0,2023-07-08,2025-01-15,593,1.0,0.8014925373134328,0.19697912225789477,65.98400053340849,High
Westcliff,3,3,3,0,2023-07-08,2025-01-15,593,1.0,0.8014925373134328,0.19697912225789477,65.98400053340849,High
St Wendolins Ridge,3,3,3,0,2023-07-08,2025-01-15,593,1.0,0.8014925373134328,0.19697912225789477,65.98400053340849,High
Chatsworth Town Centre,3,3,3,0,2023-07-08,2025-01-15,593,1.0,0.8014925373134328,0.19697912225789477,65.98400053340849,High
Buffels Bosch,3,3,3,0,2023-07-08,2025-01-15,593,1.0,0.8014925373134328,0.19697912225789477,65.98400053340849,High
Umlazi V,5,5,3,2,2023-06-22,2024-12-12,627,0.6,0.9716417910447761,0.17945905208296484,65.96586111472776,High
eKuphileni,3,3,3,0,2023-06-22,2024-12-12,627,1.0,0.8014925373134328,0.17945905208296484,65.45839842816059,High
Crowder Farm,3,3,3,0,2023-06-22,2024-12-12,627,1.0,0.8014925373134328,0.17945905208296484,65.45839842816059,High
Thoyane,3,3,3,0,2023-06-22,2024-12-12,627,1.0,0.8014925373134328,0.17945905208296484,65.45839842816059,High
Craigeburn,3,3,3,0,2023-06-22,2024-12-12,627,1.0,0.8014925373134328,0.17945905208296484,65.45839842816059,High
Ohlongeni,3,3,3,0,2023-06-22,2024-12-12,627,1.0,0.8014925373134328,0.17945905208296484,65.45839842816059,High
Amahlongwa,3,3,3,0,2023-06-22,2024-12-12,627,1.0,0.8014925373134328,0.17945905208296484,65.45839842816059,High
Mgobhozini,3,3,3,0,2023-06-22,2024-12-12,627,1.0,0.8014925373134328,0.17945905208296484,65.45839842816059,High
Mahlathini,3,3,3,0,2023-06-22,2024-12-12,627,1.0,0.8014925373134328,0.17945905208296484,65.45839842816059,High
Umkhomazi,3,3,3,0,2023-06-22,2024-12-12,627,1.0,0.8014925373134328,0.17945905208296484,65.45839842816059,High
Amalundi,3,3,3,0,2023-06-22,2024-12-12,627,1.0,0.8014925373134328,0.17945905208296484,65.45839842816059,High
Umlazi U,3,3,3,0,2023-06-22,2024-12-12,627,1.0,0.8014925373134328,0.17945905208296484,65.45839842816059,High
Lovu,3,3,3,0,2023-06-22,2024-12-12,627,1.0,0.8014925373134328,0.17945905208296484,65.45839842816059,High
KwaFakazi,3,3,3,0,2023-06-22,2024-12-12,627,1.0,0.8014925373134328,0.17945905208296484,65.45839842816059,High
Kingsburgh,3,3,3,0,2023-06-22,2024-12-12,627,1.0,0.8014925373134328,0.17945905208296484,65.45839842816059,High
Magabheni,3,3,3,0,2023-06-22,2024-12-12,627,1.0,0.8014925373134328,0.17945905208296484,65.45839842816059,High
KwaMgendwa,3,3,3,0,2023-06-22,2024-12-12,627,1.0,0.8014925373134328,0.17945905208296484,65.45839842816059,High
Demat,3,3,3,0,2023-02-15,2024-10-22,678,1.0,0.8014925373134328,0.15605695431877936,64.75633549523504,High
Arbour Crossing,2,2,1,1,2025-12-01,2026-05-15,108,0.5,0.6313432835820896,0.7438689434377121,63.88323248223584,High
Galleria Mall,2,2,1,1,2025-12-01,2026-05-15,108,0.5,0.6313432835820896,0.7438689434377121,63.88323248223584,High
Westridge,3,3,1,2,2024-02-15,2026-02-06,206,0.3333333333333333,0.8014925373134328,0.568710613761671,63.80261194518844,High
Morningside,3,3,1,2,2024-02-15,2026-02-06,206,0.3333333333333333,0.8014925373134328,0.568710613761671,63.80261194518844,High
Woodlands,3,3,1,2,2024-04-15,2026-01-25,218,0.3333333333333333,0.8014925373134328,0.5503172912170365,63.2508122688494,Medium
Farningham Ridge,1,1,1,0,2026-07-13,2026-07-13,49,1.0,0.2701492537313433,0.8743744388437276,59.73869585187899,Medium
Nirvana Hills,1,1,1,0,2026-07-13,2026-07-13,49,1.0,0.2701492537313433,0.8743744388437276,59.73869585187899,Medium
Lotus Park,3,3,2,1,2023-06-22,2024-12-12,627,0.6666666666666666,0.8014925373134328,0.17945905208296484,58.791731761493914,Medium
Malagazi,3,3,2,1,2023-06-22,2024-12-12,627,0.6666666666666666,0.8014925373134328,0.17945905208296484,58.791731761493914,Medium
Reunion,3,3,2,1,2023-06-22,2024-12-12,627,0.6666666666666666,0.8014925373134328,0.17945905208296484,58.791731761493914,Medium
Essenwood,2,2,1,1,2024-04-15,2026-02-06,206,0.5,0.6313432835820896,0.568710613761671,58.62848259195461,Medium
